city,day,e,pct
MB,26,ele = 750 Wh,0.009202454
MB,27,ele = 750 Wh,0.012987013
MB,28,ele = 750 Wh,0.009259259
MB,1,ele = 900 Wh,1
MB,2,ele = 900 Wh,0.996545769
MB,3,ele = 900 Wh,0.998242531
MB,4,ele = 900 Wh,0.995876289
MB,5,ele = 900 Wh,1
MB,6,ele = 900 Wh,1
MB,7,ele = 900 Wh,1
MB,8,ele = 900 Wh,1
MB,9,ele = 900 Wh,0.996598639
MB,10,ele = 900 Wh,0.996153846
MB,11,ele = 900 Wh,0.996527778
MB,12,ele = 900 Wh,0.996108949
MB,13,ele = 900 Wh,0.996015936
MB,14,ele = 900 Wh,0.995901639
MB,15,ele = 900 Wh,1
MB,16,ele = 900 Wh,0.998333333
MB,17,ele = 900 Wh,1
MB,18,ele = 900 Wh,1
MB,19,ele = 900 Wh,0.996515679
MB,20,ele = 900 Wh,0.991525424
MB,21,ele = 900 Wh,0.483679525
MB,22,ele = 900 Wh,0.027586207
MB,23,ele = 900 Wh,0.020257827
MB,24,ele = 900 Wh,0.013722127
MB,25,ele = 900 Wh,0.01529052
MB,26,ele = 900 Wh,0.024539877
MB,27,ele = 900 Wh,0.016233766
MB,28,ele = 900 Wh,0.00308642
WC,1,ele = 150 Wh,0.490146539
WC,2,ele = 150 Wh,0.006906077
WC,3,ele = 150 Wh,0.00543971
WC,4,ele = 150 Wh,0.002762431
WC,5,ele = 150 Wh,0.001919386
WC,6,ele = 150 Wh,0.001519757
WC,7,ele = 150 Wh,0.001104362
WC,8,ele = 150 Wh,0.001099505
WC,9,ele = 150 Wh,0.004972032
WC,10,ele = 150 Wh,0.001277955
WC,11,ele = 150 Wh,0.000487567
WC,12,ele = 150 Wh,0.002166847
WC,13,ele = 150 Wh,0.003113648
WC,14,ele = 150 Wh,0.001213592
WC,15,ele = 150 Wh,0.004289216
WC,16,ele = 150 Wh,0
WC,17,ele = 150 Wh,0
WC,18,ele = 150 Wh,0.001362398
WC,19,ele = 150 Wh,0.00249584
WC,20,ele = 150 Wh,0.000706215
WC,21,ele = 150 Wh,0.000685871
WC,22,ele = 150 Wh,0.001992032
WC,23,ele = 150 Wh,0.000816327
WC,24,ele = 150 Wh,0
WC,25,ele = 150 Wh,0
WC,26,ele = 150 Wh,0
WC,27,ele = 150 Wh,0
WC,28,ele = 150 Wh,0
WC,1,ele = 300 Wh,0.943911066
WC,2,ele = 300 Wh,0.048342541
WC,3,ele = 300 Wh,0.009066183
WC,4,ele = 300 Wh,0.004604052
WC,5,ele = 300 Wh,0.003838772
WC,6,ele = 300 Wh,0.002279635
WC,7,ele = 300 Wh,0.002208724
WC,8,ele = 300 Wh,0.00219901
WC,9,ele = 300 Wh,0.000621504
WC,10,ele = 300 Wh,0
WC,11,ele = 300 Wh,0.000487567
WC,12,ele = 300 Wh,0.000541712
WC,13,ele = 300 Wh,0
WC,14,ele = 300 Wh,0.000606796
WC,15,ele = 300 Wh,0
WC,16,ele = 300 Wh,0
