source,target,cost
198,3504,26.552151372254201
198,859,12.555793763220500
199,629,19.473193203773398
199,1374,15.406093992532000
199,218,5.713694127190650
199,3216,4.173676723755350
203,1528,104.085150533101995
204,2960,16.315611482124201
205,354,8.656633078991280
206,206,63.459856842386102
208,588,36.601533818133198
208,3041,34.326073452891102
209,3541,26.234698173504398
209,3504,8.991113332919170
212,2501,191.879371720355010
213,840,74.253401302420500
214,3298,79.341283502970995
214,3298,43.064973350223397
215,686,9.572556889098440
215,1543,98.993040587555896
215,2701,205.498503203034005
216,2039,3.416682636121340
217,2228,71.832867491110093
217,365,51.233486432829103
217,737,60.152861788432702
218,2,53.236259501254999
218,3252,9.642907474442200
219,560,27.636437357975399
219,1280,111.842607821342000
219,3298,8.971118234081210
220,3109,19.034358711056800
222,1155,144.191975881833997
224,3070,111.130551669981998
225,1814,73.354324377083898
226,1821,7.663987307864990
227,2398,15.974616019482900
227,2794,34.637393870072302
227,428,87.844660086692699
228,2153,46.591202672968599
229,2659,7.370560290229350
229,3523,18.354635293337701
230,424,11.350919542295101
231,2105,50.108442192764301
231,1715,42.203717522493200
232,1736,16.054581416624199
232,874,14.786946613386300
233,2001,52.856987736641898
233,2870,48.823403910615298
235,806,104.256241822161002
235,2179,77.766691189845602
235,41,41.153647722621798
236,1050,15.267523898344900
237,2592,99.784371294990393
237,2012,35.933229450104797
237,689,25.653748049677102
238,2495,6.020075886762670
263,2618,59.477878014227699
238,1981,2.883614724617700
238,667,36.315123398787598
239,3145,117.240826565717995
239,2424,90.734330176960299
239,1158,42.569770043429997
240,2673,4.922093345689460
242,2416,23.116834008211399
242,1936,53.372248930487899
243,1726,43.020870790076003
243,2556,70.659872394139697
244,2960,5.327251729684450
247,2005,115.280426852085000
247,222,6.882177172625700
247,1276,112.556744426886993
248,1386,23.884290431742802
248,2297,31.775917634069000
249,1929,6.406691796839840
249,3353,33.483646313190498
250,1206,22.682350490067002
251,2667,9.223596434172659
251,480,51.799129744718797
251,1994,21.073437065006100
251,1706,9.160533979181020
252,759,51.763879339606902
252,325,66.649491817671304
252,2324,7.074266225689320
253,155,106.758377607388994
254,1303,20.410929752173200
254,891,29.166572390450000
254,857,25.743793968347401
255,1640,22.273130955301500
256,2055,28.420580141226601
256,2811,38.000608104414702
257,1144,107.432770367584993
258,559,11.957320877437899
258,3413,48.988225787730201
258,186,52.101658198992801
261,1543,9.265759755363719
263,1167,11.634618559457000
263,2320,93.214300841456506
264,3574,16.421538509659101
264,2660,12.241650186450300
264,571,7.041532283754640
265,1347,3.848784166807280
265,2655,30.920743337068100
265,3008,36.291155581316502
266,3442,58.717629897554403
267,135,105.419984066449999
268,2585,86.903842989620401
268,216,28.242230076095399
269,348,201.706911460315013
270,958,25.278274166717701
270,1481,35.543059716191003
272,476,35.936666188576801
272,1730,30.969612031037201
272,3033,48.814065009782702
277,1489,48.427480715784398
277,679,13.064048458956600
277,3297,10.475543255721901
278,3649,16.588399509361800
279,356,13.380172622880499
279,3581,20.140523237770701
279,1385,19.248503898476201
280,973,6.057607423845940
281,213,61.479179469953600
281,3466,22.444809365852599
283,1053,107.457412408899003
283,177,66.762754389788299
283,2163,155.583754848404993
284,3613,77.203512260204604
287,1568,11.624516567888600
288,2948,20.922726764095302
288,2869,34.391014563711003
288,3171,28.610258579004700
288,900,21.627197743088800
289,1392,224.320983678054006
289,610,111.801580872423003
290,3172,12.631287317797000
291,1209,13.224189903880699
291,2413,13.164695343691299
291,2937,54.197489391139896
291,2921,46.103056191980102
292,2074,114.985093845818000
292,445,44.961999966303900
294,2206,40.264407329057498
294,2759,120.696114607623002
294,1459,10.943561355478700
295,501,187.423123497759008
295,1079,47.743643299598197
295,2425,54.043255602543098
296,2345,22.007354081354300
296,1202,20.258352520966898
297,228,6.369601597973170
298,2685,224.380001936322003
299,1628,36.473609383883499
299,1628,9.475886651655140
299,1041,17.189995704718900
300,3282,8.854966757678360
300,866,23.769353757491000
303,2410,36.878230676449000
304,210,42.852144364645000
304,2881,47.373766974930597
304,502,56.399297587447897
305,1778,14.684597663628100
305,2293,5.226328708994720
305,580,42.193699562003800
306,2476,191.260048977150007
306,1518,138.022514016315000
306,1263,14.449789809695300
307,1796,70.427023702628702
307,2403,31.093365411130701
309,2792,48.637016339566003
309,2985,237.686250534984993
310,3242,19.668951518363201
311,2410,15.546136466608001
311,1683,29.927242875380699
312,653,9.256240612063380
313,2863,23.122868867651800
313,1109,26.279062765085001
314,1430,11.732876428420200
315,788,33.444579937582098
315,1743,64.976927101217797
316,1520,80.985400251092301
316,482,24.216758166290901
316,2605,34.977711369929501
317,583,16.225360743145899
317,121,82.030027551562995
317,121,63.482462061042199
318,3618,80.106110658008006
319,364,19.643468783932100
319,2291,9.275247215544381
322,213,122.903257604497000
323,179,75.091016388911498
323,3352,61.028797042187598
323,809,89.740702115903602
325,2369,65.991337878800493
326,3312,2.752704483630700
326,135,13.996217089550500
326,2462,59.239207448304199
327,3357,28.184514136378301
327,1613,79.130621132213605
327,1776,32.684212386086799
327,537,83.509963763208503
328,358,37.250260485716097
328,1475,44.476909303863401
329,3613,21.182566312553899
331,2822,26.883223937560398
332,1565,30.931891047353599
334,2845,3.777901164299670
336,3506,41.814259379043200
337,2398,62.618224861130102
337,3588,29.260289900915399
337,2794,55.740142012537802
339,3690,38.151928969547299
340,1142,61.660123466208802
341,844,5.839638951541240
341,1096,85.883884719227595
341,2663,8.309482461997350
343,2506,60.236730061514997
343,2538,64.988223512433606
344,1430,126.290207472909998
344,154,45.435446369693800
345,2766,51.848331444226098
345,3422,12.868778934432999
345,61,13.441253431087000
345,1229,9.900092020434551
347,2812,11.547321934903501
347,2494,20.239993373076299
349,3420,42.532241937982398
349,1776,17.654933621873901
350,2219,31.284711590114501
351,2735,3.374060437094330
353,772,19.337422075394301
353,882,8.836651951287971
355,3142,10.092731289430400
357,576,14.379098792151700
357,630,33.531789088598003
360,1486,18.046581863139199
360,3476,31.430401441451799
360,657,91.976397012275100
361,748,98.829472595721995
361,3166,12.320113410886099
361,1485,65.012200866090595
362,571,8.674780006845660
362,3148,16.217055408747001
362,2283,26.846948376732001
363,1673,121.940673090946007
363,3246,13.124303834360800
365,2429,18.263716813624200
365,2228,138.764712803018995
366,2220,26.386835612364798
366,2559,39.369933032539997
368,923,14.964779799758199
368,1793,94.046468574338803
369,2676,37.131873372056198
369,2996,19.318696088360699
371,2570,29.632848453861399
373,750,33.195010320267997
373,905,28.398402432089600
374,2247,11.300535755327600
374,1113,66.670187931610400
375,187,21.293439558647901
377,1043,26.074204311717398
379,992,13.433854952394100
379,313,6.539865520660630
379,387,39.956833305124803
380,946,8.056163201505891
380,70,4.123431784227830
380,944,47.583116829424597
381,356,14.074053520276500
383,1198,32.342205694462898
383,2818,65.865058426221097
383,2957,7.854754229293470
384,1478,27.328067311005601
386,3642,17.720077843289900
387,1665,36.235196197448403
389,3217,63.225571351626201
389,1108,108.192096935888998
389,2178,9.305000681970640
389,1960,278.791356802859013
392,766,191.331937261434007
393,1247,39.779443458416601
393,2811,5.454229902283260
393,3632,42.400776475079198
395,401,20.866283865113999
395,1629,31.181819264321000
396,2342,11.317663916273800
396,2530,11.780292515626099
396,2389,9.793915081800350
397,3098,28.673083165334099
397,1730,144.330642304451999
397,2240,16.029653291877000
398,370,199.742214274181009
398,1676,231.340119497276987
400,1872,21.560820075593998
400,1350,114.217105286350005
400,1536,11.895897548320001
401,3022,12.345982808102100
402,358,26.786559472473300
402,1317,21.929919659016502
402,1006,8.453398495575019
402,2096,56.717179804848598
404,124,2.628690419023300
404,2865,12.104511131111000
405,1577,8.468418967690670
406,693,34.163970318527397
406,150,15.183187715717599
406,2046,47.209555347172099
407,234,83.472811437891806
407,109,12.404815478426000
407,2703,224.397759768893991
407,669,14.183026570528700
408,3254,19.695195279741501
408,1890,5.432649676426150
409,3238,42.716888837504399
409,339,81.895527625256804
410,105,60.909747232321600
410,354,95.637438932029298
410,3250,25.421206545106902
411,2220,19.219547618871101
411,2559,19.355451129718400
411,917,60.202103209581601
412,1838,19.436243047395301
412,886,89.682172980927703
412,2751,29.865455431021001
413,1813,22.237297206038900
413,3253,106.721019381787002
416,2508,30.848340788036399
416,1276,11.370208900484799
416,1156,26.785989923918699
417,650,6.688636183804470
419,2173,31.352690642547099
419,2326,11.988637574140199
420,923,22.224844446264200
421,638,122.906340954513993
422,422,315.084260092628995
423,2633,18.444653298844901
423,1285,10.722401094732900
425,831,6.567581549001850
427,3011,12.149438292020699
427,717,8.792419644345740
427,3005,19.280342274202500
428,611,94.069514746929300
429,434,15.944598705455901
429,3556,61.365433651303803
457,3058,18.148455337472200
429,1680,45.152025203246701
431,3475,27.875739929857801
431,3475,34.484198428782200
432,3266,60.813568771220297
432,405,139.313187904903998
432,359,43.637046777885203
433,3340,69.009389253097595
433,1414,31.159367917795599
433,2441,15.402590674796700
434,350,292.357902217013020
434,3505,270.765162248232002
434,3255,67.896331823605493
435,1993,115.207881813444004
436,1754,93.670843770412205
436,1406,58.164884062189003
438,1613,44.504947531500100
440,67,7.870166021415760
440,3142,23.112844339454700
441,3641,31.599477195487399
441,67,33.175592830535201
442,1444,14.329144004808500
442,1812,28.176018461980199
442,1812,14.217462309461199
445,518,59.142697285608897
445,2472,24.392618056198302
446,807,6.394958362493950
447,1817,68.973257496861905
447,2689,9.095756673714749
448,333,8.125090676141710
450,3404,10.242090728442800
451,1312,32.916394061993799
451,3231,34.549051099349498
451,2025,23.012986040558900
454,1804,5.827019586162420
454,2572,14.830138191494999
457,2784,41.959716146514701
457,3331,29.275465946986500
460,3242,12.384425650754499
460,820,18.604191359063300
460,310,9.578773824198670
461,422,29.129427259944300
461,681,34.617976492610403
461,3093,16.911598438912900
462,2939,15.478045169357900
462,236,4.998827645682740
462,2917,36.323426952536302
465,3383,5.387275827042220
465,3565,93.005216054875007
465,243,80.430326435959302
466,1176,9.989701515914501
466,2370,13.782721907054500
467,1726,54.292240621475599
467,200,26.760599103388799
467,754,26.964376149721300
468,1402,18.373179505592699
468,1371,37.007248152678997
468,3694,28.206996750168699
469,1416,8.368711811610959
470,2731,24.174397373708700
471,2218,7.821286386345280
471,744,189.743498226240007
471,1074,38.177774049740698
472,2655,23.382083043010901
473,2821,32.539921311327298
474,260,24.397265901082200
474,1530,39.068044345832298
475,1347,38.364887032233902
475,895,8.483331477025770
475,3008,3.317192774181390
478,2669,24.429654073240599
478,149,43.257290057073000
479,2702,10.105437449674900
479,3460,77.931150504911997
480,348,54.996445496634202
480,1914,203.362804534866996
481,3370,29.722976441794600
482,2624,42.583380245340898
483,2161,20.725425974552799
483,951,40.837916596108101
483,2581,12.415485963723800
484,2104,51.128032088268000
485,848,37.358806211209497
486,1175,17.431054027517099
486,337,54.307595976034797
486,248,56.039708414294999
487,3572,112.189433837625998
487,2583,13.562549804704901
487,1637,9.920616738666750
488,604,22.498606645580399
488,856,30.562901742441198
490,3352,13.712265922137099
490,666,155.167243660731003
491,874,51.692800483292501
491,1729,16.625139425233900
491,232,40.116345153117500
493,1700,73.128177263643394
494,2826,202.801986489546010
494,3592,34.444970966947302
494,1568,46.153510374168199
495,518,17.987687024987402
495,1472,8.477020645790640
496,2269,10.721110733499900
496,2542,6.777492888149810
498,3043,13.954054789849801
499,1729,57.222468679199999
500,2714,27.419441453680101
501,76,59.471437428285199
503,1322,68.670386877916599
504,149,3.676431196407100
505,414,168.097309384684991
506,1053,135.005759216028991
507,1501,44.375468279820900
508,13,148.942105419910007
508,474,37.008614154122100
508,1700,42.837873518266399
509,2239,18.225855643570601
510,812,144.517674469816995
510,2871,111.014707098890995
511,1641,11.270240459700700
511,2761,8.183794094013130
511,3657,67.371211283726495
511,2082,8.309275057745619
514,352,21.710921489213401
514,1930,45.092811972109097
515,2472,39.334917200700900
516,970,152.208323064153006
517,3260,78.427691452290603
521,884,88.114011513612397
521,884,57.150442324307100
521,2470,37.110953301605399
522,1906,89.318367730598894
522,1594,16.465027112159198
522,704,5.449775546389890
523,1867,11.312799069021500
524,2672,250.391680245671012
524,2941,33.129472381364600
524,3057,35.661203466206800
525,2983,22.068586904551101
525,2193,25.091219729921399
525,2458,18.461908400706701
526,301,116.546014371663006
526,1592,130.629475218935994
526,1019,87.199593171487393
528,421,22.162525387976402
529,2754,30.353648701943399
530,3114,5.819431264844700
530,3454,17.032588940371198
530,1725,3.552201159331360
530,3305,14.497981688722200
532,2528,31.882979018229001
532,2390,9.155145564278820
532,529,184.024936948169994
535,424,46.881461774916403
535,1245,34.897198265986603
536,1605,54.395873795248001
537,2261,14.936382291527099
537,2603,35.354994892801301
538,3244,70.713156928849699
538,129,26.804613274426298
538,3482,30.419727389604500
539,776,6.275703390315140
540,1038,24.766386998910800
541,2445,72.756378146090697
541,1020,14.667214377018199
541,1208,46.705831033555597
542,904,10.505925134085899
543,2384,9.098791797891520
543,3189,147.397330469867995
543,1782,26.475789243524400
543,1762,49.579088482694900
544,800,7.617493862119890
547,3589,12.847077800750199
547,2129,55.489509777599501
547,3318,55.714262392245502
548,3352,13.180614538279601
548,490,6.556435639579330
548,16,58.692875165828099
550,186,56.774923848697298
551,1127,11.696409991752001
551,2600,16.185709716950999
551,841,106.137722762669995
552,811,82.010946948319997
552,1365,93.435435577909999
552,2463,61.585167475909302
553,3695,4.088954858117130
555,114,110.198039211587002
557,2994,231.508879293320007
557,1281,77.159395916392597
557,758,10.306948930875100
558,2496,30.740860173525700
613,1646,15.309659721224500
558,1014,124.610825749502993
558,1704,37.197387304013901
559,559,74.793914083428305
559,2966,5.630056729202580
560,1834,28.597940931888701
561,2499,122.993803173968004
561,2906,50.639010680100398
561,1581,53.785530211913603
562,3648,27.542645544859301
564,1118,6.205506564701150
565,3366,123.735079388559001
566,1748,40.124662167500098
567,3147,92.746449684119099
567,2836,36.946206397272199
568,1681,26.385705898953699
568,1593,65.771475789037495
570,636,169.040709893711011
571,1598,12.913824814469200
597,1678,13.084160889197200
573,1849,216.809618421508986
573,2377,18.429243967992001
573,3514,13.243092166049999
574,1320,26.985970274981501
574,2135,73.656433631837501
577,962,15.927875544660800
577,2272,10.824697706467500
578,2970,37.757364078753298
578,907,43.910150981283998
578,1936,28.688538797548599
579,2066,9.466513077929390
579,1741,9.250551646833220
579,702,169.921060420462993
580,2697,24.766430905558899
581,2694,16.947125067362499
582,2965,14.775982904323399
582,1392,40.345742141608902
582,1398,9.362973984921680
584,2640,119.102036707080003
584,3088,11.265895097211100
584,2179,21.417028318147601
585,2560,17.612398401866500
585,1422,19.093170591627398
585,3584,40.670578539097797
586,2081,66.454660714188194
586,1935,8.427858808660311
587,2773,37.731187143880298
587,637,8.839039603337371
587,563,117.895140082561994
589,267,44.024083475820603
589,1167,27.331089646930799
590,694,59.168280249232502
590,2330,48.101271396335498
590,2992,10.687326649936701
591,390,113.644776511466006
595,2796,118.732262305109003
596,1660,130.424346903746994
596,1092,11.197119066161701
598,1873,59.912220728489203
599,376,40.165093186475197
600,2663,15.301513244540500
601,2214,17.321260291682901
601,1018,12.367773580528500
601,2678,63.769787935520597
602,2745,85.283687838106601
606,1624,35.707317800490600
606,889,81.201824274455007
606,567,99.920004145773802
607,607,11.059951966524499
607,625,16.611411106145201
608,1625,77.697538490005201
608,1625,55.836302529347400
608,979,73.232872769584802
608,1228,6.072297429671830
609,454,13.438447335348400
609,1780,269.458835987055011
613,3521,9.204269355412110
615,2486,94.332261487282693
616,3315,103.431226258837995
617,757,14.305207301535701
621,2136,130.262487489253999
621,3647,7.224850619507450
621,1823,35.734617354616702
625,428,10.650421460500199
626,2162,20.870363355686600
626,2868,32.396479777660304
627,2314,61.031539289216703
627,741,149.753497928376987
627,3038,18.213596842143701
627,2149,63.401426730416098
629,1696,56.707961449821298
633,873,4.189172009634310
635,86,74.981906196054695
636,2368,14.198939138403601
636,1978,13.479973393790800
637,2350,30.242900357525500
637,2309,98.476118360019200
641,2247,60.604176395546197
641,1833,7.379051809218010
641,1113,60.219588534852200
642,2991,44.537600814365000
642,1924,32.218493190942503
642,2374,60.156554947423700
643,2511,71.961621451982694
643,2032,239.530198093648011
644,2613,15.700489143186500
644,1567,13.199884492779800
644,1803,77.388571372279600
645,1938,103.999926231220002
645,3468,19.413844595725202
646,635,57.092156639279501
646,1316,17.939074871078901
647,771,107.962336940173003
647,1348,79.026119821064100
648,1586,28.939336054346501
648,2069,105.581941227746995
648,184,141.454061733581000
651,2076,23.632169057703500
652,1161,133.475785947469006
652,3244,13.521000418469900
652,1970,86.442729186359699
652,2230,38.268185119404798
653,1470,123.696685004597995
653,736,86.436392641012304
654,848,21.973990371103898
654,1284,11.968862301371599
656,3403,76.042279617610106
657,1825,79.414548134016400
657,917,190.287044626886001
659,777,24.488596194500101
660,992,22.308449619007401
660,2863,2.858278942163730
660,1665,5.096250744274050
719,2963,36.746246011646498
661,2479,103.734269993157000
661,1422,90.681868814910899
662,565,126.028653763017005
662,2991,36.409962537825201
663,3084,89.649963045727503
664,310,50.748321085660599
665,1556,2.587497831072920
667,364,34.247647737228398
667,418,29.504287033687898
668,2452,60.843825108069503
668,3693,22.627406702021101
673,1748,21.425041730661700
675,888,111.756678651431002
675,2445,40.809455411276403
676,1670,64.169993868117302
677,1500,4.810173275359680
677,2117,36.390293527876999
677,805,24.145254629120402
678,3660,17.291295072792899
678,2586,24.439332164784400
678,3469,26.272528314228001
683,1250,6.007820343162430
683,1923,137.598928081204008
685,2767,42.973001171917403
685,399,47.174991914427302
687,2151,9.993350206323640
688,2773,103.046569109711996
688,2696,21.866857002633800
688,563,21.722154542018501
689,2662,108.787856834818001
689,3002,26.059228674937501
689,1979,149.602781439636999
690,1334,27.963472476690502
690,2844,10.035854348437400
691,2280,23.506710948081100
692,2387,85.822340831022700
692,1988,14.145358603495600
693,2271,296.347808881244021
693,3268,74.083950850847899
694,915,164.067353247179000
694,2175,63.846385950278901
695,3509,51.920451067054302
696,386,29.388238948234800
696,811,77.592279738287800
696,163,67.489158240817503
697,2702,6.260953835931670
697,1905,7.283428408354100
697,3107,20.911943638289799
698,3394,109.426979082111998
698,1915,18.492115273448999
698,1280,86.145622517234600
700,3176,37.080105647228599
700,2447,111.570599356014000
700,1979,36.554157757496803
702,828,26.294434808431600
702,2381,20.671484507999700
703,3049,37.870032725940597
703,3049,31.295371452235099
703,3304,23.140825439495099
704,937,87.213421095755805
705,1453,26.074669054486499
705,2696,53.285877146733803
705,878,17.308790873632798
706,1239,126.256680608145999
707,1763,25.238966308475000
708,792,18.894548183809100
708,1055,112.585283266486996
711,1649,31.156067615401600
711,3605,62.332113415752701
712,3248,21.518832782418801
712,712,70.295879782428003
713,2248,15.837585730584500
713,176,145.400738792849012
713,2343,20.647096240174701
715,2914,3.451115115102940
716,2788,3.667393829765690
717,3279,18.723301705044200
719,2265,19.722360679643600
719,381,13.360657120270300
719,2223,15.015474836772000
720,643,15.277967970853700
720,3090,34.545965582349403
721,2743,8.005103774372129
721,95,70.849502107996798
721,1886,97.971427173549799
721,2791,60.260799437293798
723,1935,67.277041682274898
723,3146,129.421739851485000
723,2081,37.470059564442600
725,430,7.094275740513600
725,2885,64.899456737975996
726,315,11.717131957438101
726,1479,4.353675729490470
726,1823,26.154724322640501
728,3577,10.541586281907300
728,1140,22.933054617527599
729,3606,4.928010620711650
730,2793,12.895979951142200
730,2168,11.093591452972699
730,596,15.131809122129800
731,1970,29.875383468006500
731,2838,126.088613709289007
731,996,44.682215137073797
733,1163,24.349074242085699
734,3256,27.223247881675299
734,1829,21.280083246197101
735,2134,83.438186156585601
735,736,141.418976986647010
735,722,7.892314498074650
738,1260,3.368872487600120
738,701,47.918503580408199
739,308,67.515794245080301
739,1703,14.506383987422600
742,2093,47.791119280251898
743,1797,80.656045851251903
744,3316,11.887053186368300
744,1483,12.572959628949199
745,3524,52.689233712184901
745,3358,13.069694877009599
745,3426,9.145419743650519
745,2691,17.222041714232500
746,2395,10.794427199163501
746,2395,53.985255752436700
746,664,12.960880143131000
747,2721,29.549183003383501
751,3227,28.568822563940302
751,3227,14.668728974283500
752,2111,7.811423183860370
754,200,19.530483931961001
754,1078,100.204758549481994
756,2512,21.991797421792899
759,2788,12.346937314178399
